Datensatz 1:Zeit(s),Datensatz 1:X(m),Datensatz 1:Y(m),Datensatz 1:X Geschwindigkeit(m/s),Datensatz 1:Y Geschwindigkeit(m/s)
1.76833333333,0.057141993856899997,1.93584431809,0.092102417117699995,-1.55030521097
1.8016666666700001,0.060735335022700003,1.8853338739500001,0.076302975668200004,-1.61450220508
1.835,0.061984162393400002,1.8324951570800001,0.055200553631200001,-1.7664476599900001
1.8683333333300001,0.065536868026000006,1.7703026717899999,0.026578972058399999,-1.9622504213600001
1.9016666666699999,0.066745032055299996,1.70578191024,-0.063685499628300002,-2.2566904460199999
1.9350000000000001,0.052323454467700002,1.6072866939299999,0.072187593940599995,-2.23753741138
1.9683333333299999,0.071424575034500004,1.55570457406,0.212042808789,-2.1930861213899999
2.0016666666699998,0.074912219569199995,1.47482088859,0.13930138611199999,-2.48758565854
2.0350000000000001,0.078367333679000006,1.3845916386899999,0.110871070514,-2.66881043902
2.06833333333,0.081822447788800004,1.29436238879,0.0856695013393,-2.7944687017500001
2.1016666666699999,0.082924887626999996,1.19946845369,0.102288456598,-2.9205854156100002
2.1349999999999998,0.088675747330500002,1.0975490264400001,0.119688539521,-2.99176593367
2.1699999999999999,0.092090198098899997,0.99563773186600002,0.111893059047,-3.0798538471799999
2.2033333333299998,0.095488383530900001,0.88905361941899996,0.12457338825399999,-3.2168262523000002
2.2366666666700001,0.10121484523,0.780124965369,0.116868452936,-3.3312337049799998
2.27,0.102252223722,0.66653975878600003,0.134217868263,-3.4351734945999999
2.3033333333299999,0.110290696351,0.550593745262,0.16514633902,-3.4995331758899999
2.3366666666699998,0.113648218441,0.43232758814,0.19228928987900001,-3.5327271838000001
2.3700000000000001,0.116989475195,0.30938861314799998,0.34452213781699997,-3.4281174062000002
2.40333333333,0.143776147982,0.20973240082399999,0.300762354477,-3.47041036194
2.4366666666699999,0.14710121070099999,0.082120607713999996,0.0099789186245300004,-3.6090003163
2.4700000000000002,0.13409588018099999,-0.038425030161400003,-0.214970621822,-3.6286611285700001
