Datensatz 1:Zeit(s),Datensatz 1:X(m),Datensatz 1:Y(m),Datensatz 1:X Geschwindigkeit(m/s),Datensatz 1:Y Geschwindigkeit(m/s)
1.335,-0.171512112647,2.1753280882200001,0.162395999096,-0.64913488744199999
1.3683333333300001,-0.170056137415,2.15487743077,0.21878652759600001,-0.68178208030999998
1.4016666666699999,-0.15197982053600001,2.1296780798900001,0.105412262331,-0.68949855346300004
1.4350000000000001,-0.14577516661199999,2.1068530978300002,-0.39557187834599999,-0.65507043184699998
1.4683333333299999,-0.182308499327,2.0864024483599999,-0.77348647115699998,-0.64122006117399999
1.50166666667,-0.221216164632,2.0683261314800001,-0.48263072875899998,-0.75004360807000003
1.5349999999999999,-0.219760175891,2.0383781516499999,0.015979115351900001,-0.92613994190299997
1.56833333333,-0.21592985455800001,2.0060558392200001,0.40972260335999999,-1.0844287813
1.6016666666699999,-0.18360754213399999,1.9642361964299999,0.48886702306000002,-1.1695090324799999
1.635,-0.17027989043700001,1.92241655364,0.18020378623,-1.09432183377
1.6683333333299999,-0.168823901695,1.8900942412199999,-0.19520971843599999,-1.0017489720699999
1.70166666667,-0.19823423663699999,1.86252059398,-0.17309086024100001,-1.0967744461
1.7350000000000001,-0.18965525012199999,1.8230752837799999,0.11725314029099999,-1.3513353777299999
1.76833333333,-0.18044927691599999,1.7665034477099999,0.17877652436399999,-1.4586016794100001
1.8016666666700001,-0.173326279143,1.71901679589,0.11835577511500001,-1.3819839817199999
1.835,-0.17613362723100001,1.6782007528,0.117815180696,-1.3797664677399999
1.8683333333300001,-0.16755463948900001,1.62925814049,0.17071518429499999,-1.43799795585
1.9016666666699999,-0.16134998556499999,1.58031549993,0.13905741027400001,-1.4615055693300001
1.9350000000000001,-0.15751966423200001,1.5337472644100001,0.095123536075500004,-1.5216987178700001
1.9683333333299999,-0.156063675491,1.4776817710000001,0.075119449662000001,-1.5365713492799999
2.0016666666699998,-0.15698201934,1.42636494276,0.164268266971,-1.4256471288599999
2.0350000000000001,-0.14128003505299999,1.3845454448900001,0.13714119936399999,-1.3548276378599999
2.06833333333,-0.14245995546000001,1.33912358133,-0.013657480368700001,-1.33958128275
2.1016666666699999,-0.14245995546000001,1.2916369295100001,-0.15986300261299999,-1.26318141735
2.1349999999999998,-0.16445996000900001,1.2512608763899999,-0.086411421121800003,-1.09783100214
2.1699999999999999,-0.13926067851599999,1.2296229967700001,-0.266991773953,-1.2205899551799999
2.2033333333299998,-0.15679935050300001,1.15812419659,-1.03837513314,-1.1203273852
2.2366666666700001,-0.23132200467299999,1.14598371119,-1.2080560683999999,-0.81586631977900004
2.27,-0.26785533738799999,1.12197156283,-0.57166820092100001,-0.97758381470800004
2.3033333333299999,-0.25452768569099998,1.0813390863400001,-0.193753596853,-1.2268887367600001
2.3366666666699998,-0.26969202508700002,1.04070660985,-0.152202776511,-1.4841081007900001
2.3700000000000001,-0.27773336670900001,0.99057680298899997,0.11095241899199999,-1.89565908323
2.40333333333,-0.23353939133000001,0.88346301394799998,-0.27883384803099998,-1.5889744568899999
2.4366666666699999,-0.30806204549999999,0.89744018704799999,-0.35995687822400002,-1.5949102883699999
2.4700000000000002,-0.29948305898599997,0.81406972391700005,0.57592588472999995,-2.4813277890099998
2.5033333333300001,-0.22679709251399999,0.69270993933000002,0.475016749613,-2.3705256014299998
2.53666666667,-0.26095609263699998,0.644954465064,0.28309153184000002,-1.91742379865
2.5699999999999998,-0.235756777986,0.571081332296,0.76191527102500001,-1.5058728162099999
2.6033333333300002,-0.22717779147100001,0.53994618616699996,1.63250388773,-1.10025766524
2.63666666667,-0.104630840589,0.51355970522000005,1.9253382406199999,-1.14576570657
2.6699999999999999,-0.055688200026900003,0.48954755686399998,1.06190149655,-1.8181837538400001
2.7033333333299998,-0.063729541649400007,0.35631610932199997,0.87241107830599995,-1.62312734632
2.7366666666700001,-0.0100382359058,0.36791894983099999,0.99721878248499995,-1.0832421463699999
2.77,0.018994660728000001,0.32053489978499999,0.81128506876299999,-1.4186722974299999
2.8033333333299999,0.037989321456000001,0.26592525019199997,0.76082416105200001,-1.6124495641800001
2.8366666666699998,0.066481312548099997,0.206566935417,0.76419440472400002,-1.6975623010900001
2.8700000000000001,0.094973303640099996,0.15433161841500001,0.65492007301800004,-1.74513445439
2.90333333333,0.10684496659499999,0.087850305867100006,0.63632113438899995,-1.7154552970000001
2.9366666666699999,0.13058829250500001,0.033240656273999997,0.77858322879999997,-1.51759424775
2.9700000000000002,0.16382894877900001,-0.0071229977730099996,0.89828916359599997,-1.34941235589
