Datensatz 1:Zeit(s),Datensatz 1:X(m),Datensatz 1:Y(m),Datensatz 1:X Geschwindigkeit(m/s),Datensatz 1:Y Geschwindigkeit(m/s)
1.335,-0.047692966209099998,1.97807562744,0.100919415345,-1.3993373497199999
1.3683333333300001,-0.043941404245499999,1.93246462271,0.092198904845500002,-1.4565067431000001
1.4016666666699999,-0.042515345428900002,1.88452806792,0.105072537725,-1.5892556743899999
1.4350000000000001,-0.036438237015,1.82961493874,0.107367469105,-1.78837875632
1.4683333333299999,-0.035012178198299999,1.7700507599499999,0.1001631734,-2.00542754632
1.56833333333,-0.023757427352599999,1.5611264012299999,0.10160642455,-2.1333308188300002
1.6016666666699999,-0.019766960788299998,1.4806325702200001,0.086430893161900002,-2.1997035165100001
1.635,-0.0204275438213,1.41176643419,0.145428245382,-2.2476661939499998
1.6683333333299999,-0.0141115524585,1.3219705749599999,0.30381804348500002,-2.1648189442199999
1.70166666667,0.0061575876961600003,1.2972894101000001,0.29025248215999999,-2.8043382047000001
1.7350000000000001,0.0101480542604,1.13307675732,0.14103130758099999,-3.3760297176999998
1.76833333333,0.011812996026,1.03630432369,0.075141438286899995,-3.0272009979000001
1.8016666666700001,0.0134779377916,0.94185741487100005,0.059637939629399998,-2.8818556979899999
1.835,0.015142879557299999,0.849736030847,0.090644936944399998,-2.84115901401
1.8683333333300001,0.0191333461215,0.75296359722499995,0.137155432917,-2.8799177606600002
1.9016666666699999,0.0207982878871,0.65851668840199995,0.26118342217700002,-2.9438696926199999
1.9350000000000001,0.041067428041700001,0.55709320518299998,0.26312135950900001,-3.01944924858
1.9683333333299999,0.042732369807299997,0.455669721965,0.14103130758099999,-3.0562700578899999
2.0016666666699998,0.046722836371599998,0.35424623874599998,0.10343532333700001,-3.1101447157200002
2.0350000000000001,0.050713302935800002,0.24817170592999999,0.0325068169788,-3.1551048618299999
2.06833333333,0.047727195104200003,0.142097173114,-0.031445114983399997,-3.17448423515
